web-scraper-order,web-scraper-start-url,name,meaning
"1553606396-3681","https://www.babynamesdirect.com/baby-names/tamil/boy/a/2","","Born of Fire"
"1553606391-3500","https://www.babynamesdirect.com/baby-names/tamil/boy/a/3","","God of Medicine"
"1553606396-3658","https://www.babynamesdirect.com/baby-names/tamil/boy/a/2","","Long Life"
"1553606399-3796","https://www.babynamesdirect.com/baby-names/tamil/boy/a/1","","Trustworthy"
"1553606391-3512","https://www.babynamesdirect.com/baby-names/tamil/boy/a/3","","Strong"
"1553606355-1938","https://www.babynamesdirect.com/baby-names/tamil/boy/a/12","","Emperor of Love"
"1553606384-3071","https://www.babynamesdirect.com/baby-names/tamil/boy/a/5","Ariyan",""
"1553606363-2176","https://www.babynamesdirect.com/baby-names/tamil/boy/a/10","Arshilin",""
"1553606372-2640","https://www.babynamesdirect.com/baby-names/tamil/boy/a/8","","Gorgeousness; Beauty; Good Looking"
"1553606355-1939","https://www.babynamesdirect.com/baby-names/tamil/boy/a/12","","Happy - Wealthy Man"
"1553606389-3314","https://www.babynamesdirect.com/baby-names/tamil/boy/a/4","","Radiant"
"1553606363-2282","https://www.babynamesdirect.com/baby-names/tamil/boy/a/10","","Seemless Provider of Food"
"1553606399-3859","https://www.babynamesdirect.com/baby-names/tamil/boy/a/1","","Highland; Height; God's Gift"
"1553606363-2201","https://www.babynamesdirect.com/baby-names/tamil/boy/a/10","Athulith",""
"1553606384-3038","https://www.babynamesdirect.com/baby-names/tamil/boy/a/5","Amulya",""
"1553606359-2082","https://www.babynamesdirect.com/baby-names/tamil/boy/a/11","","Fully Decorated"
"1553606355-1968","https://www.babynamesdirect.com/baby-names/tamil/boy/a/12","","Handsome"
"1553606359-2159","https://www.babynamesdirect.com/baby-names/tamil/boy/a/11","","Vehicle of Lord Vishnu"
"1553606376-2779","https://www.babynamesdirect.com/baby-names/tamil/boy/a/7","","Commanding; Knowledgeable"
"1553606363-2253","https://www.babynamesdirect.com/baby-names/tamil/boy/a/10","","Beauty; Handsome"
"1553606389-3197","https://www.babynamesdirect.com/baby-names/tamil/boy/a/4","Aahlad",""
"1553606391-3447","https://www.babynamesdirect.com/baby-names/tamil/boy/a/3","","Delightful; Happy; Joy; Happiness; …"
"1553606367-2442","https://www.babynamesdirect.com/baby-names/tamil/boy/a/9","","Only One; Unique; Matchless"
"1553606389-3293","https://www.babynamesdirect.com/baby-names/tamil/boy/a/4","","To Donate"
"1553606384-3047","https://www.babynamesdirect.com/baby-names/tamil/boy/a/5","Aniesh",""
"1553606367-2379","https://www.babynamesdirect.com/baby-names/tamil/boy/a/9","Alakesan",""
"1553606376-2757","https://www.babynamesdirect.com/baby-names/tamil/boy/a/7","Arjunan",""
"1553606372-2620","https://www.babynamesdirect.com/baby-names/tamil/boy/a/8","","Hospitality; Welcoming"
"1553606389-3269","https://www.babynamesdirect.com/baby-names/tamil/boy/a/4","Akavan",""
"1553606384-3125","https://www.babynamesdirect.com/baby-names/tamil/boy/a/5","","Happiness; Joy; Blissful One; …"
